 id quality type
0  7.0 1
1  6.0 1
2  5.0 0
3  6.0 1
4  5.0 1
5  6.0 0
6  6.0 1
7  6.0 1
8  6.0 1
9  6.0 0
10  6.0 1
11  6.0 1
12  6.0 1
13  6.0 1
14  5.0 1
15  6.0 0
16  6.0 1
17  6.0 1
18  6.0 1
19  5.0 0
20  5.0 1
21  6.0 1
22  6.0 1
23  6.0 1
24  6.0 1
25  7.0 0
26  6.0 1
27  6.0 1
28  6.0 1
29  7.0 1
30  6.0 1
31  6.0 0
32  5.0 1
33  5.0 1
34  6.0 1
35  6.0 1
36  7.0 1
37  6.0 1
38  6.0 1
39  6.0 1
40  7.0 1
41  6.0 0
42  5.0 0
43  6.0 1
44  5.0 1
45  6.0 0
46  6.0 0
47  6.0 1
48  6.0 1
49  6.0 1
50  5.0 1
51  5.0 1
52  6.0 1
53  6.0 0
54  5.0 1
55  5.0 1
56  6.0 1
57  6.0 0
58  6.0 0
59  6.0 1
60  5.0 1
61  5.0 0
62  6.0 1
63  6.0 0
64  5.0 0
65  5.0 1
66  6.0 1
67  5.0 1
68  4.0 1
69  5.0 1
70  6.0 1
71  5.0 1
72  5.0 0
73  6.0 0
74  7.0 1
75  6.0 1
76  5.0 0
77  6.0 1
78  8.0 1
79  5.0 0
80  5.0 1
81  5.0 1
82  6.0 1
83  6.0 0
84  7.0 0
85  5.0 1
86  6.0 0
87  6.0 1
88  6.0 1
89  6.0 1
90  5.0 0
91  7.0 1
92  5.0 1
93  7.0 1
94  6.0 1
95  7.0 1
96  7.0 1
97  7.0 1
98  6.0 1
99  5.0 0
100  6.0 0
101  5.0 1
102  5.0 1
103  6.0 1
104  6.0 1
105  6.0 1
106  5.0 1
107  6.0 1
108  6.0 1
109  5.0 0
110  5.0 0
111  6.0 1
112  6.0 1
113  5.0 1
114  6.0 0
115  5.0 0
116  6.0 1
117  5.0 1
118  6.0 1
119  6.0 1
120  5.0 1
121  7.0 1
122  6.0 1
123  6.0 1
124  5.0 1
125  6.0 0
126  6.0 1
127  6.0 1
128  5.0 0
129  6.0 0
130  6.0 0
131  6.0 1
132  5.0 1
133  5.0 0
134  6.0 1
135  7.0 1
136  6.0 1
137  7.0 1
138  5.0 0
139  6.0 1
140  7.0 1
141  5.0 0
142  6.0 1
143  6.0 1
144  6.0 1
145  5.0 1
146  6.0 1
147  7.0 1
148  6.0 1
149  5.0 0
